Year,city,sr,tmin,tmax,rh,sh,ep,ws,rf
Dec-98,ilorin,15.90,19.30,34.10,58.00,7.30,8.70,5.60,0.25
Jan-99,ilorin,14.70,20.90,33.30,56.00,5.60,8.80,5.20,73.30
Feb-99,ilorin,17.40,22.80,35.10,70.00,7.00,8.00,4.50,26.20
Mar-99,ilorin,16.70,23.60,34.90,75.00,7.10,6.80,5.10,48.30
Apr-99,ilorin,17.20,22.70,34.20,75.00,6.20,5.60,4.20,103.20
May-99,ilorin,15.50,22.60,32.10,79.00,6.40,4.20,4.30,169.10
Jun-99,ilorin,14.40,22.30,30.30,82.00,6.60,3.00,3.40,196.30
Jul-99,ilorin,11.80,21.90,29.10,84.00,5.20,3.40,3.60,69.20
Aug-99,ilorin,11.20,20.80,27.90,83.00,5.30,3.40,3.30,59.60
Sep-99,ilorin,12.80,20.60,30.10,83.00,5.20,2.90,3.40,107.70
Oct-99,ilorin,15.60,21.80,32.20,80.00,5.30,3.70,3.20,43.10
Nov-99,ilorin,18.10,22.20,34.30,77.00,6.50,6.90,3.10,2.60
Dec-99,ilorin,14.90,20.30,33.30,59.00,4.80,8.40,3.60,0.30
Jan-00,ilorin,14.80,16.20,33.10,24.00,4.90,12.40,5.00,0.25
Feb-00,ilorin,17.10,19.80,35.30,36.00,5.00,13.50,5.00,0.25
Mar-00,ilorin,18.70,22.90,35.10,71.00,3.10,7.90,7.00,46.50
Apr-00,ilorin,17.10,22.60,33.90,76.00,5.10,6.50,8.00,54.60
May-00,ilorin,15.80,21.90,31.80,77.00,6.30,4.30,7.00,42.70
Jun-00,ilorin,13.80,21.10,30.00,83.00,5.00,3.40,6.00,199.50
Jul-00,ilorin,12.40,20.90,29.10,81.00,4.50,3.30,6.00,95.80
Aug-00,ilorin,11.20,20.70,29.30,86.00,4.50,2.90,7.00,119.00
Sep-00,ilorin,12.90,20.60,29.00,86.00,4.20,2.80,5.00,121.30
Oct-00,ilorin,15.40,21.80,31.10,82.00,5.80,3.40,5.00,115.20
Nov-00,ilorin,18.30,20.60,35.20,69.00,7.70,7.90,3.00,0.25
Dec-00,ilorin,16.50,19.20,33.40,57.00,5.30,8.00,4.00,0.25
Jan-01,ilorin,15.50,22.00,34.00,61.00,5.90,8.10,7.00,0.25
Feb-01,ilorin,17.10,20.50,35.00,46.00,7.80,11.60,5.00,5.40
Mar-01,ilorin,18.60,22.60,37.00,48.00,6.50,13.60,5.00,0.25
Apr-01,ilorin,17.20,22.80,34.00,76.00,7.40,6.60,6.00,80.10
May-01,ilorin,16.90,21.70,32.00,82.00,6.50,3.90,7.00,144.80
Jun-01,ilorin,15.10,21.60,31.00,86.00,6.10,3.50,6.00,132.40
Jul-01,ilorin,12.30,21.90,28.00,87.00,3.10,2.50,6.00,185.00
Aug-01,ilorin,12.50,20.60,28.00,88.00,3.90,2.40,7.00,86.10
Sep-01,ilorin,13.10,20.80,30.00,88.00,3.70,2.40,5.00,261.40
Oct-01,ilorin,15.10,21.60,32.00,50.00,6.00,3.30,5.00,61.40
Nov-01,ilorin,18.30,22.90,35.00,77.00,6.90,5.20,5.00,16.90
Dec-01,ilorin,16.30,22.20,33.00,76.00,6.00,6.10,4.00,46.60
Jan-02,ilorin,15.90,20.80,33.60,64.00,5.10,8.10,3.00,3.10
Feb-02,ilorin,17.90,23.30,35.50,73.00,8.00,7.30,4.00,19.70
Mar-02,ilorin,19.90,23.80,34.60,75.00,6.20,6.40,6.00,92.10
Apr-02,ilorin,18.20,22.60,32.30,77.00,6.80,4.70,7.00,128.00
May-02,ilorin,15.70,22.30,30.80,82.00,7.90,2.70,6.00,355.70
Jun-02,ilorin,14.70,22.00,31.10,83.00,6.60,3.10,5.00,119.00
Jul-02,ilorin,11.60,21.40,28.80,86.00,4.80,2.30,5.00,325.90
Aug-02,ilorin,11.20,21.30,27.90,87.00,4.30,2.40,4.00,138.80
Sep-02,ilorin,12.60,21.50,30.10,86.00,4.90,2.50,5.00,112.70
Oct-02,ilorin,18.20,21.10,30.30,83.00,6.40,1.10,4.00,172.90
Nov-02,ilorin,19.00,21.50,33.20,75.00,5.20,5.60,4.00,0.50
Dec-02,ilorin,16.70,19.10,32.90,55.00,8.10,8.70,3.00,0.25
